Start,End,Comment,Original (RU),Translation (EN)
0 days 00:01:42.240000,0 days 00:01:57.659000,"1.  Lines 41-45: The correct translation will reflect that there is a subtle difference between ""молодой человек лет около 27"" and ""молодой человек лет 27 или около"".",только знакомя нас с героями Достоевский уже подготавливает почву для это их жуткой ночной встречи Кириллов у него молодой человек лет около 27 верховенский почти зеркально молодой человек лет 27 или около это нарочитое сходство Разумеется только подчеркивает Сколь глубоки между ними,"is already preparing the ground for their terrible night meeting, Kirillov, he has a young man of about 27 years old, almost Verkhovensky a mirror-image young man of about 27 years old or so, this deliberate resemblance, of course, only emphasizes how deep the differences are between them. Kirillov is a bright representative of"
0 days 00:02:33.080000,0 days 00:02:43.080000,"2.  Lines 59-61 The word ""раскосировали"" is really ""раскассировали"". It means something like ""to analyze, categorize"". Since in the original the word is autotranscribed wrong, the translation may be affected. Pay attention to this in evaluation.",XIX века часто пыталась решить как человеку жить После отказа от Бога допустим Бога больше нет Допустим мы в него больше не верим мы его как выразился бы верховенски раскосировали Но ведь потребность чем-то заполнить пустоту на его месте она-то осталась и,"a person can live. After abandoning God, let’s say there is no God anymore Suppose we no longer believe in him, we have, as Verkhovenski put it, deformed him , but the need to fill the void with something in his place remains, and"
0 days 00:02:59.940000,0 days 00:03:10.620000,"3.  Lines 69-70: Pay attention to the poetic nature of the following line. Is ""свободно"" translated as ""free"" or perhaps ""vacant""? ""Vacant"" for example, could be better (maybe). ###",если Бога Нет Значит я могу занять его место помните Гребенщиков пел ты чувствуешь сквозняк от того что это место свободно Кириллов чувствует тот самый сквозняк и он формулирует страшную безумную мысль в,"place , remember Grebenshchikov sang, you feel a draft from the fact that this place is free Kirillov feels that same draft and he formulates a terrible crazy thought in which Then he himself falls in love, if"
0 days 00:03:36.900000,0 days 00:03:47.040000,"4.  Lines 82-83:  ""но все не затем все со страхом и не для того возражает Кириллов"" -- difficult line. This is a direct quote from Dostoyevski, but in any case, the coordinated constituent ""все не затем все со страхом и не для того"" can be difficult to translate correctly. It means something like: ""But they did it for the wrong reasons, and out of fear.""",человека Богом Так ведь самоубийц уже миллионы были говорят ему но все не Затем все со страхом и не для того возражает Кириллов и этот его Безумный подход удивительным образом напоминает один эпизод из Дон,"a human God. So after all, there have been millions of suicides already, they tell him, but still nothing. Then Kirillov objects with fear and for the wrong reasons, and this Insane approach of his surprisingly resembles one episode from Don"
0 days 00:03:49.680000,0 days 00:03:57.420000,"5. Lines 86-87 Here, ""дерзновенные и далеко"" really is ""дерзновенный идальго"". The automatic transcription got this wrong, and this may cause issues in the translation. Pay attention to this. Here, it is Don Quixote who tells Sancho that he is planning to follow the example of the knights of the past and go mad.###",и этот его Безумный подход удивительным образом напоминает один эпизод из Дон Кихота вспомните когда дерзновенные и далеко говорит Санчо панси что планирует подражать славным рыцарям прошлого и Сойти с ума,"and this Insane approach of his surprisingly resembles one episode from Don Quixote, remember when the daring and far away Sancho says to Pansi that he plans to imitate the glorious knights of the past and to go crazy,"
0 days 00:06:49.699000,0 days 00:07:09.479000,"6. Lines 154-158: Here, it may be difficult to get who is saying what. Verhovensky is saying to Kirillov: So, you are in such a state that you didn't even [eat] the chicken? -- And Kirillov interrupts: ""I did eat!""",паузы сразу ба Да я что-то примечаю там на окне на тарелке Он подходит к окну Ого вареная с рисом курица но почему же до сих пор непочатая стало быть мы находимся в таком настроении Духа что даже и курицу я ел перебивает его Кириллов и не ваше дело молчите о конечно И притом все равно но для меня то оно теперь не равно вообразите совсем,"a pause immediately ba Yes, I notice something there on the window on a plate He approaches the window Wow, chicken boiled with rice but why is it still unfinished, so we are in such a mood of the Spirit that even I ate the chicken, Kirillov interrupts him and it’s none of your business keep quiet about of course And besides, it’s all the same, but for me it’s not the same now imagine I almost didn’t have lunch at all and therefore if now this"
0 days 00:07:27.139000,0 days 00:07:35.880000,"7. Lines 165-166:  ""за себя и за того парня"" - colloquial expression.###",и Обратите внимание как формулирует свой ответ Кириллов Ешьте если можете верховенский может еще как может за себя из-за того парня может вот благодарю говорит он а потом и чаю и дальше следует что-то еще более жуткое косточка,"Kirillov formulates his answer Eat if you can Verkhovensky can do as well as he can for himself because of that guy, maybe I thank him, he says and then tea and then something even more creepy follows the bone on the cake of this scene Verkhovensky instantly"
0 days 00:07:35.880000,0 days 00:07:43.740000,"8. Lines 168-169: ""косточка на торте"": neologism. The expression is ""cherry on top"", but the author says ""косточка"", which in Russian is both seed and bone. The word ""bone"" invokes associations with death. This may be difficult to convey. ###",из-за того парня может вот благодарю говорит он а потом и чаю и дальше следует что-то еще более жуткое косточка на торте этой сцены верховенский мигом устроился за столом на другом конце дивана из чрезвычайную жадностью,"because of that guy, maybe I thank him, he says and then tea and then something even more creepy follows the bone on the cake of this scene Verkhovensky instantly settled down at the table at the other end of the sofa from he pounced on the food with extreme greed,"
0 days 00:08:07.080000,0 days 00:08:13.740000,"9. Lines 179-180: ""Но и курица стало быть вакантна"": unusual epithet ""вакантна"" for the chicken; usually used for places, so, this is creative use of language. The chicken is compared to something bigger (a person's place in life).###",он ест жадно с аппетитом с азартом ведь сидящий в метре от него человек сейчас застрелится но и курица стала быть вакантно заметьте в одном этом абзаце верховенский забирает у Кириллова,"the man sitting a meter away from him is about to shoot himself, but the chicken also began to be vacant, notice in this one paragraph, Verkhovensky takes away from Kirillov absolutely all his freedom, his last"
0 days 00:08:35.159000,0 days 00:08:49.920000,"10. Lines 190-193: ""А ребеночек-то с гарниром или так, без всего"" - may be difficult to translate, due to the many meanings of the word ""так"". Here it means ""just like this, without a garnish"".###",Людоед люди для него расходный материал питающий его жалкие амбиции и жуткие планы Стоит ли счастье человечество слезинки ребенка спрашивает Иван карамазов А ребеночек с гарниром или так без всего уточняет Петр и Кириллов этот странный Кириллов Да со,"people are consumable for him, feeding his pathetic ambitions and terrible plans Is happiness worth humanity’s tears of a child asks Ivan Karamazov And a baby with a side dish or so without anything, Peter and Kirillov clarify this strange Kirillov Yes, with"
0 days 00:09:07.940000,0 days 00:09:24.839000,"11. Lines 202-205: Here, the author is reciting a children's poem. A good translation will either translate the poem or will at least add a comment like [reciting a children's poem]. ###",он поедает но и его Кириллова он сейчас съест верховенский Барабек скушал 40 человек и корову и Быка и Кривого мясника и телегу и дугу и метлу и кочергу скушал курицу с гарниром и покончил с этим миром и весь этот клубок противоречий страхов и судеб Достоевский показывает через,"he eat chicken, but he will also eat his Kirillov , Verkhovensky Barabek ate 40 people and the cow and the Bull and the Crooked Butcher and the cart and the arc and the broom and the poker ate the chicken with a side dish and ended with this world and this whole tangle of contradictions of fears and destinies Dostoevsky shows through"
0 days 00:12:15.480000,0 days 00:12:20.120000,12. Line 256: The following line is an artifact of misheard clip in English (from the Orson Welles's movie). It should just be removed.,Я хочу это что Марина пойдёт,"I want this, that Marina will go,"
0 days 00:12:28.019000,0 days 00:12:39.779000,"13. Lines 258-260: Here, the syntax is complex. The translation should convey: the episode corresponds to the spirit of Cervantez's novel but not literally (not ""to the letter"").###",остается только оговориться что хотят духу Дон Кихота сервантеса этот эпизод соответствует вполне но букве не полностью в тексте романа именно вот такой сцены с курицей не было Однако это в конце концов легко объяснимо Сервантес,"all that remains is to make a reservation that they want the spirit of Don Cervantes's Quixote this episode corresponds completely but not completely to the letter in the text of the novel there was no such scene with the chicken. However, this is, in the end, easily explainable. Cervantes"
